adierazgailu,1  iz. (Teknol.) indicador
adierazgarri,"1  iz. señal, indicio; (rasgo) distintivo // 2  izond. significativo, -a, expresivo, -a, elocuente // 3  izond. que se puede expresar, que se puede manifestar con palabras"
adierazgarritasun,iz. representatividad; relevancia; expresividad
"adierazi, adieraz, adierazten","1  du ad. dar a entender, expresar, explicar, declarar, manifestar // 2  du ad. [seinale edo ikur izan] indicar; querer decir; significar; representar // 3  du ad. [iragarri] significar; anunciar, hacer saber, notificar"
adierazkaitz,difícil de explicar; inexplicable
adierazkizun,"iz. lo que hay que expresar, explicar"
adierazkor,"izond. expresivo, -a; afectuoso, -a"
adierazkortasun,iz. expresividad
adierazle,"1  iz. indicador, que indica algo; expresión // 2  iz. intérprete; exégeta, el que explica un texto // 3  iz. indicador // 4  iz. (Hizkl.) [adierazi-ri kontrajarria] significante"
adierazmen,"iz. expresividad, capacidad expresiva"
adierazmolde,"iz. modo de expresión; frase, sentencia"
adierazpen,"1  iz. expresión, manifestación // 2  iz. declaración, manifestación // 3  iz. (Mat.) expresión // 4  iz. (Zuz.) declaración, deposición"
adierazpen-askatasun,libertad de expresión
adierazpen-egile,"(Zuz.) declarante, deponente"
adierazpena egin,"(Zuz.) declarar, prestar declaración"
adierazpide,"1  iz. expresión, medio de expresión // 2  iz. representación; modo de representación // 3  iz. (Mat.) representación"
adierraz,"izond. inteligible, comprensible, fácil de entender; fácil de expresar"
adierraztasun,"iz. inteligibilidad, comprensibilidad"
adietan eman,"hacer saber, dar a conocer, manifestar, comunicar, anunciar; dar a entender, expresar; exponer, explicar"
adiezin,"ininteligible, incomprensible; inaccesible"
adigabe,"izond. distraído, -a"
adigai,"iz. concepto; pensamiento, idea"
adigaitz,"izond. ininteligible, incomprensible"
adigaiztasun,iz. incomprensibilidad
adigalkor,"izond. distraído, -a"
adigarri,"1  iz. explicación // 2  iz. significado, significación // 3  iz. ejemplo, símil // 4  izond. digno, -a de oírse, espectacular // 5  izond. inteligible, claro, -a"
adigarritasun,"iz. comprensibilidad, inteligibilidad"
adiguritsu,"izond. (batez ere B) atento, -a; cuidadoso, -a; aplicado, -a"
adikor,"izond. amable, afable, atento, -a, comprensivo, -a"
adikune,iz. (B) mirada
adimen,"1  iz. entendimiento, inteligencia; mente, intelecto // 2  iz. juicio, sensatez, uso de razón // 3  iz. (Psikol.) inteligencia"
adimen-atzerapen/atzeratasun,(Psikol.) (gutxiesgarria) retraso mental
adimen-urritasun,(Psikol.) deficiencia mental
adimendu,"entendimiento, inteligencia; intelecto"
adimendun,adj. inteligente; racional
adimengabe,"izond. irracional, desprovisto de inteligencia/razón/juicio"
adimentsu,"izond. inteligente; juicioso, -a"
adin,edad
adin handi,"edad avanzada, vejez"
adin-nagusitasun,(Zuz.) mayoría de edad
adin-txikitasun,(Zuz.) minoría de edad
adina egin/bihurtu,llegar a ser tanto como
adindun,"1 adj./iz. de una cierta edad, entrado en años; (persona) mayor // 2 adj./iz. (Zuz.) mayor de edad // adj./iz. (B) racional, sensato, -a"
adineko,"de una cierta edad, entrado en años, (persona) mayor"
adingabe,1  iz./izond. menor de edad; de pocos años // 2  iz./izond. (Zuz.) menor de edad
adingabetasun,iz. (Zuz.) minoría de edad
adinkeria,edadismo
adinkide,"izond. coetáneo, -a, de la misma edad"
adintsu,"izond. de (mucha) edad, anciano, -a // izond. casi de la misma edad"
adio(ak) egin/esan/erran,"despedirse, decir adiós; renunciar"
adiskide,"1 iz. amigo, -a; amiguete (col.) // 2 iz. [deitzaile gisa] amigo, -a // 3 iz. aficionado, -a (a algo), amigo, -a de (algo) // 4 iz. novio, -a"
adiskide min/mami/kutun/handi/barruko,amigo íntimo; amiga íntima
adiskidekeria,amiguismo
adiskidetasun,"1  iz. amistad, compañerismo, afecto // 2  iz. (hed.) [herri, herrialdeen... artekoa] amistad"
adiskidetasunak egin,hacer/trabar/entablar amistad
adiskidetsu,"1 izond. afable, amistoso, -a, afectuoso, -a, amigable // 2 adb. amistosamente, afectuosamente, amigablemente"
adiskidetze,"1  iz. reconciliación, conciliación, avenimiento"
adiskidetzeko ekitaldi; adiskidetze-ekitaldi,(Zuz.) acto de conciliación
aditasun,"iz. atención, aplicación"
aditu,"entendido, -a, docto, -a, experto, -a"
aditu(a/ak),"experto, -a; entendido, -a"
aditz iragangaitz,(Hizkl.) verbo intransitivo
aditz iragankor,(Hizkl.) verbo transitivo
aditze,"iz. audición, escucha"
aditzera,"nueva, noticia; aviso"
aditzera eman,"hacer saber, dar a conocer, manifestar, comunicar, anunciar; dar a entender, expresar; exponer, explicar"
aditzondo,iz. (Hizkl.) adverbio
adiurre,"iz. (zah.) carácter, forma de ser, personalidad"
adiutu,"izond. ajustado, -a, adecuado, -a"
adizio,adición
adizkitegi,"conjugación, tabla verbal, tabla de conjugación"
adjektibo mugagabe,(Hizkl.) adjetivo indefinido
adjudikaziodun,"adj./iz. adjudicatario, -a"
administrari,"funcionario, -a de la administración; administrativo, -a"
administrazio-prozedura,(Zuz.) procedimiento administrativo
administrazio-zuzenbide; zuzenbide administratibo,(Zuz.) derecho administrativo
adoleszente,iz./izond. adolescente
adondo,iz. frente [del ganado vacuno]
adoragarri,izond. (Erl.) adorable [digno de adoración]
adore,"ánimo, valor"
adore eman,"animar, dar ánimo"
adoregabe,"1  izond. falto de ánimo/vigor; débil // 2  izond. cobarde, pusilánime"
adoretsu,"1 izond. vigoroso, -a, brioso, -a, animoso, -a // 2 izond. valiente, audaz"
"adoretu, adore(tu), adoretzen","1  da/du ad. animar(se), jalear; infundir ánimos; fortalecer(se) // 2  da/du ad. envalentonar(se), crecer(se)"
adostasun,"iz. acuerdo, unanimidad, conformidad"
adreilu-zoladura,"(Eraik.) enladrillado, enladrilladura"
adreilugile,"iz. ladrillero, -a [persona]"
adreilugintza,iz. fabricación de ladrillos
aduanazain,"iz. aduanero, -a"
adulteriogile,"iz./izond. adúltero, -a"
adultero,"iz./izond. adúltero, -a"
adur,baba
adurra zeriola,"caérsele la baba; estar embelesado, -a"
aerolabaingailu,iz. (Autom.) aerodeslizador; hovercraft
aerosorgailu,"iz. (Elektr.) aerogenerador, generador eólico"
"afaldu, afal, afaltzen",da ad. (Ipar.) / du ad. (Heg.)  cenar
afalondo,"iz. (batez ere denbora-kasuetan, bereziki, noiz kasuan) tiempo después de cenar; sobremesa"
afaltegi,cenáculo [sala de la última cena]
afaltoki,iz. cenáculo [sala de la última cena]
afari,cena
afari-legea egin,cenar [algo ligero]
afaria egin,1 hacer la cena; preparar la cena // 2 cenar
afariketan egin/ibili/jardun,jugar [los niños]
afektibotasun,iz. (Psikol.) afectividad
afekzio,"(Med.) afección, enfermedad // afecto, sentimiento"
afera,"iz. (Ipar.) asunto, negocio, ocupación"
afinagailu,iz. (Mus.) (Heg.) afinador [aparato]
afixa,cartel
afixategi,cartelera
afloramendu,Ik. azaleratze
afrikaerditar,"adj./iz. centroafricano, -a"
afrikari,"africado, -a"
afro-kubatar,"adj./iz. afrocubano, -a"
afrontu,"tempestad, temporal; mal tiempo [con viento y lluvia] // disgusto"
afrontuan egon,"estar a la intemperie, estar donde sopla el viento"
afruntu,"afrenta, ultraje; molestia"
afruskeria,"horror, atrocidad"
afruski,horriblemente
agabe," iz. (Bot.) agave, pita (Agave sp.)"
agai,Ik. haga
agaramontar,"adj./iz. (Hist.) agramontés, -esa"
agerbide,"1 iz. señal, muestra // 2 iz. medio/forma de expresión"
agergarri,"iz. prueba, manifestación, muestra"
